FGA,FGM,FG_PCT,GRID_TYPE,SEASON_ID,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE
85.0,2.0,0.024,League Averages,1996-97,Back Court(BC),Above the Break 3,Back Court Shot
2961.0,1004.0,0.339,League Averages,1996-97,Center(C),Above the Break 3,24+ ft.
6391.0,2096.0,0.328,League Averages,1996-97,Left Side Center(LC),Above the Break 3,24+ ft.
4938.0,1713.0,0.347,League Averages,1996-97,Right Side Center(RC),Above the Break 3,24+ ft.
207.0,9.0,0.043,League Averages,1996-97,Back Court(BC),Backcourt,Back Court Shot
4311.0,1896.0,0.44,League Averages,1996-97,Center(C),In The Paint (Non-RA),8-16 ft.
14430.0,6313.0,0.437,League Averages,1996-97,Center(C),In The Paint (Non-RA),Less Than 8 ft.
1893.0,781.0,0.413,League Averages,1996-97,Left Side(L),In The Paint (Non-RA),8-16 ft.
1741.0,714.0,0.41,League Averages,1996-97,Right Side(R),In The Paint (Non-RA),8-16 ft.
3068.0,1214.0,0.396,League Averages,1996-97,Left Side(L),Left Corner 3,24+ ft.
7169.0,2906.0,0.405,League Averages,1996-97,Center(C),Mid-Range,16-24 ft.
1668.0,710.0,0.426,League Averages,1996-97,Center(C),Mid-Range,8-16 ft.
9900.0,4050.0,0.409,League Averages,1996-97,Left Side Center(LC),Mid-Range,16-24 ft.
9842.0,4158.0,0.422,League Averages,1996-97,Left Side(L),Mid-Range,16-24 ft.
13794.0,5376.0,0.39,League Averages,1996-97,Left Side(L),Mid-Range,8-16 ft.
11226.0,4357.0,0.388,League Averages,1996-97,Right Side Center(RC),Mid-Range,16-24 ft.
9029.0,3715.0,0.411,League Averages,1996-97,Right Side(R),Mid-Range,16-24 ft.
12668.0,5036.0,0.398,League Averages,1996-97,Right Side(R),Mid-Range,8-16 ft.
70575.0,38643.0,0.548,League Averages,1996-97,Center(C),Restricted Area,Less Than 8 ft.
2689.0,1079.0,0.401,League Averages,1996-97,Right Side(R),Right Corner 3,24+ ft.
94.0,0.0,0.0,League Averages,1997-98,Back Court(BC),Above the Break 3,Back Court Shot
5071.0,1698.0,0.335,League Averages,1997-98,Center(C),Above the Break 3,24+ ft.
9535.0,3233.0,0.339,League Averages,1997-98,Left Side Center(LC),Above the Break 3,24+ ft.
9405.0,3317.0,0.353,League Averages,1997-98,Right Side Center(RC),Above the Break 3,24+ ft.
